Transcript,Transcript
TRINITY_DN10131_c0_g6_i1,TRINITY_DN10131_c0_g6_i1
TRINITY_DN10132_c0_g1_i1,TRINITY_DN10132_c0_g1_i1
TRINITY_DN10133_c0_g1_i7,TRINITY_DN10133_c0_g1_i7
TRINITY_DN10134_c0_g1_i1,TRINITY_DN10134_c0_g1_i1
TRINITY_DN10137_c0_g2_i1,TRINITY_DN10137_c0_g2_i1
TRINITY_DN101384_c0_g1_i2,TRINITY_DN101384_c0_g1_i2
TRINITY_DN10138_c0_g1_i1,TRINITY_DN10138_c0_g1_i1
TRINITY_DN10139_c0_g1_i1,TRINITY_DN10139_c0_g1_i1
TRINITY_DN10140_c0_g1_i1,TRINITY_DN10140_c0_g1_i1
TRINITY_DN101411_c0_g1_i1,TRINITY_DN101411_c0_g1_i1
TRINITY_DN10141_c0_g1_i7,TRINITY_DN10141_c0_g1_i7
TRINITY_DN10142_c0_g1_i1,TRINITY_DN10142_c0_g1_i1
TRINITY_DN10143_c0_g2_i3,TRINITY_DN10143_c0_g2_i3
TRINITY_DN10145_c0_g1_i2,TRINITY_DN10145_c0_g1_i2
TRINITY_DN10146_c0_g1_i1,TRINITY_DN10146_c0_g1_i1
TRINITY_DN101471_c0_g1_i1,TRINITY_DN101471_c0_g1_i1
TRINITY_DN10147_c0_g1_i34,TRINITY_DN10147_c0_g1_i34
TRINITY_DN10148_c0_g1_i4,TRINITY_DN10148_c0_g1_i4
TRINITY_DN10148_c0_g2_i8,TRINITY_DN10148_c0_g2_i8
TRINITY_DN10149_c0_g1_i1,TRINITY_DN10149_c0_g1_i1
TRINITY_DN1014_c0_g2_i4,TRINITY_DN1014_c0_g2_i4
TRINITY_DN1014_c1_g1_i1,TRINITY_DN1014_c1_g1_i1
TRINITY_DN101507_c0_g1_i1,TRINITY_DN101507_c0_g1_i1
TRINITY_DN10150_c0_g1_i24,TRINITY_DN10150_c0_g1_i24
TRINITY_DN10151_c0_g1_i1,TRINITY_DN10151_c0_g1_i1
TRINITY_DN10153_c0_g1_i11,TRINITY_DN10153_c0_g1_i11
TRINITY_DN101547_c0_g1_i1,TRINITY_DN101547_c0_g1_i1
TRINITY_DN10154_c0_g1_i3,TRINITY_DN10154_c0_g1_i3
TRINITY_DN10155_c0_g3_i3,TRINITY_DN10155_c0_g3_i3
TRINITY_DN101574_c0_g1_i1,TRINITY_DN101574_c0_g1_i1
TRINITY_DN10157_c0_g2_i4,TRINITY_DN10157_c0_g2_i4
TRINITY_DN101584_c0_g1_i3,TRINITY_DN101584_c0_g1_i3
TRINITY_DN10159_c0_g1_i5,TRINITY_DN10159_c0_g1_i5
TRINITY_DN10160_c0_g1_i4,TRINITY_DN10160_c0_g1_i4
TRINITY_DN101615_c0_g2_i4,TRINITY_DN101615_c0_g2_i4
TRINITY_DN10161_c0_g1_i4,TRINITY_DN10161_c0_g1_i4
TRINITY_DN101626_c0_g1_i2,TRINITY_DN101626_c0_g1_i2
TRINITY_DN101627_c0_g1_i2,TRINITY_DN101627_c0_g1_i2
TRINITY_DN10162_c0_g1_i4,TRINITY_DN10162_c0_g1_i4
TRINITY_DN10163_c0_g1_i2,TRINITY_DN10163_c0_g1_i2
TRINITY_DN101643_c0_g1_i1,TRINITY_DN101643_c0_g1_i1
TRINITY_DN101643_c0_g2_i2,TRINITY_DN101643_c0_g2_i2
TRINITY_DN101667_c0_g1_i1,TRINITY_DN101667_c0_g1_i1
TRINITY_DN101669_c0_g1_i3,TRINITY_DN101669_c0_g1_i3
TRINITY_DN10166_c0_g1_i4,TRINITY_DN10166_c0_g1_i4
TRINITY_DN101672_c0_g1_i3,TRINITY_DN101672_c0_g1_i3
TRINITY_DN10167_c0_g1_i1,TRINITY_DN10167_c0_g1_i1
TRINITY_DN101699_c0_g1_i1,TRINITY_DN101699_c0_g1_i1
TRINITY_DN10169_c0_g1_i1,TRINITY_DN10169_c0_g1_i1
TRINITY_DN1016_c0_g1_i3,TRINITY_DN1016_c0_g1_i3
TRINITY_DN1016_c5_g1_i5,TRINITY_DN1016_c5_g1_i5
TRINITY_DN101710_c0_g1_i1,TRINITY_DN101710_c0_g1_i1
TRINITY_DN10171_c0_g2_i5,TRINITY_DN10171_c0_g2_i5
TRINITY_DN10172_c1_g3_i1,TRINITY_DN10172_c1_g3_i1
TRINITY_DN10173_c0_g1_i1,TRINITY_DN10173_c0_g1_i1
TRINITY_DN10174_c0_g1_i1,TRINITY_DN10174_c0_g1_i1
TRINITY_DN10175_c0_g1_i1,TRINITY_DN10175_c0_g1_i1
TRINITY_DN10176_c0_g1_i2,TRINITY_DN10176_c0_g1_i2
TRINITY_DN10177_c0_g2_i2,TRINITY_DN10177_c0_g2_i2
TRINITY_DN10178_c0_g1_i12,TRINITY_DN10178_c0_g1_i12
TRINITY_DN101790_c0_g1_i2,TRINITY_DN101790_c0_g1_i2
TRINITY_DN101799_c0_g1_i4,TRINITY_DN101799_c0_g1_i4
TRINITY_DN101799_c0_g2_i1,TRINITY_DN101799_c0_g2_i1
TRINITY_DN10179_c0_g1_i2,TRINITY_DN10179_c0_g1_i2
TRINITY_DN1017_c0_g2_i5,TRINITY_DN1017_c0_g2_i5
TRINITY_DN101801_c0_g1_i1,TRINITY_DN101801_c0_g1_i1
TRINITY_DN101803_c4_g1_i1,TRINITY_DN101803_c4_g1_i1
TRINITY_DN101819_c0_g1_i3,TRINITY_DN101819_c0_g1_i3
TRINITY_DN10181_c0_g1_i2,TRINITY_DN10181_c0_g1_i2
TRINITY_DN101829_c0_g1_i3,TRINITY_DN101829_c0_g1_i3
TRINITY_DN10183_c0_g1_i6,TRINITY_DN10183_c0_g1_i6
TRINITY_DN10183_c0_g2_i4,TRINITY_DN10183_c0_g2_i4
TRINITY_DN10185_c0_g2_i1,TRINITY_DN10185_c0_g2_i1
TRINITY_DN101877_c0_g1_i2,TRINITY_DN101877_c0_g1_i2
TRINITY_DN101877_c0_g2_i1,TRINITY_DN101877_c0_g2_i1
TRINITY_DN10188_c0_g2_i1,TRINITY_DN10188_c0_g2_i1
TRINITY_DN10189_c0_g1_i15,TRINITY_DN10189_c0_g1_i15
TRINITY_DN10190_c0_g1_i2,TRINITY_DN10190_c0_g1_i2
TRINITY_DN10190_c0_g2_i2,TRINITY_DN10190_c0_g2_i2
TRINITY_DN10190_c0_g3_i7,TRINITY_DN10190_c0_g3_i7
TRINITY_DN10190_c0_g4_i3,TRINITY_DN10190_c0_g4_i3
TRINITY_DN10190_c0_g6_i1,TRINITY_DN10190_c0_g6_i1
TRINITY_DN10191_c0_g1_i1,TRINITY_DN10191_c0_g1_i1
TRINITY_DN10192_c0_g1_i5,TRINITY_DN10192_c0_g1_i5
TRINITY_DN10193_c0_g1_i15,TRINITY_DN10193_c0_g1_i15
TRINITY_DN10193_c1_g1_i5,TRINITY_DN10193_c1_g1_i5
TRINITY_DN10194_c0_g1_i5,TRINITY_DN10194_c0_g1_i5
TRINITY_DN10196_c0_g1_i1,TRINITY_DN10196_c0_g1_i1
TRINITY_DN101975_c0_g2_i3,TRINITY_DN101975_c0_g2_i3
