comp101697_c0_seq2,comp101697_c0_seq2
comp101700_c0_seq1,comp101700_c0_seq1
comp101726_c0_seq1,comp101726_c0_seq1
comp101750_c0_seq1,comp101750_c0_seq1
comp101764_c0_seq2,comp101764_c0_seq2
comp101768_c0_seq2,comp101768_c0_seq2
comp101794_c0_seq1,comp101794_c0_seq1
comp101794_c0_seq2,comp101794_c0_seq2
comp101796_c0_seq1,comp101796_c0_seq1
comp101818_c0_seq1,comp101818_c0_seq1
comp101830_c0_seq1,comp101830_c0_seq1
comp101833_c0_seq1,comp101833_c0_seq1
comp101835_c0_seq1,comp101835_c0_seq1
comp101840_c0_seq1,comp101840_c0_seq1
comp101841_c0_seq1,comp101841_c0_seq1
comp101858_c0_seq1,comp101858_c0_seq1
comp101862_c0_seq1,comp101862_c0_seq1
comp101873_c0_seq1,comp101873_c0_seq1
comp101891_c0_seq1,comp101891_c0_seq1
comp101894_c0_seq1,comp101894_c0_seq1
comp101901_c0_seq1,comp101901_c0_seq1
comp101918_c0_seq2,comp101918_c0_seq2
comp101919_c0_seq2,comp101919_c0_seq2
comp101921_c0_seq1,comp101921_c0_seq1
comp101951_c0_seq2,comp101951_c0_seq2
comp101962_c0_seq1,comp101962_c0_seq1
comp101980_c0_seq1,comp101980_c0_seq1
comp101996_c0_seq1,comp101996_c0_seq1
comp101997_c0_seq1,comp101997_c0_seq1
comp102007_c0_seq1,comp102007_c0_seq1
comp102009_c0_seq1,comp102009_c0_seq1
comp102012_c0_seq1,comp102012_c0_seq1
comp102014_c0_seq1,comp102014_c0_seq1
comp102024_c0_seq1,comp102024_c0_seq1
comp102027_c0_seq2,comp102027_c0_seq2
comp102029_c0_seq1,comp102029_c0_seq1
comp102065_c0_seq2,comp102065_c0_seq2
comp102070_c0_seq1,comp102070_c0_seq1
comp102078_c0_seq1,comp102078_c0_seq1
comp102085_c0_seq1,comp102085_c0_seq1
comp102090_c0_seq1,comp102090_c0_seq1
comp102097_c0_seq1,comp102097_c0_seq1
comp102141_c0_seq1,comp102141_c0_seq1
comp102163_c0_seq1,comp102163_c0_seq1
comp102166_c0_seq1,comp102166_c0_seq1
comp102169_c0_seq1,comp102169_c0_seq1
comp102180_c0_seq1,comp102180_c0_seq1
comp102188_c0_seq2,comp102188_c0_seq2
comp102189_c0_seq2,comp102189_c0_seq2
comp102192_c0_seq1,comp102192_c0_seq1
comp102206_c0_seq1,comp102206_c0_seq1
comp102222_c0_seq1,comp102222_c0_seq1
comp102224_c0_seq1,comp102224_c0_seq1
comp102227_c0_seq1,comp102227_c0_seq1
comp102233_c0_seq1,comp102233_c0_seq1
comp102236_c0_seq1,comp102236_c0_seq1
comp102240_c0_seq1,comp102240_c0_seq1
comp102260_c0_seq3,comp102260_c0_seq3
comp102261_c0_seq1,comp102261_c0_seq1
comp102278_c0_seq1,comp102278_c0_seq1
comp102280_c0_seq1,comp102280_c0_seq1
comp102291_c0_seq2,comp102291_c0_seq2
comp102295_c0_seq1,comp102295_c0_seq1
comp102306_c0_seq1,comp102306_c0_seq1
comp102311_c0_seq1,comp102311_c0_seq1
comp102312_c0_seq2,comp102312_c0_seq2
comp102313_c0_seq1,comp102313_c0_seq1
comp102320_c0_seq2,comp102320_c0_seq2
comp102328_c0_seq1,comp102328_c0_seq1
comp102337_c0_seq1,comp102337_c0_seq1
comp102342_c0_seq1,comp102342_c0_seq1
comp102348_c0_seq1,comp102348_c0_seq1
comp102366_c0_seq1,comp102366_c0_seq1
comp102377_c0_seq1,comp102377_c0_seq1
comp102379_c0_seq1,comp102379_c0_seq1
comp102380_c0_seq2,comp102380_c0_seq2
comp102383_c0_seq1,comp102383_c0_seq1
comp102390_c0_seq1,comp102390_c0_seq1
comp102391_c0_seq1,comp102391_c0_seq1
comp102408_c0_seq1,comp102408_c0_seq1
comp102411_c0_seq1,comp102411_c0_seq1
comp102435_c0_seq1,comp102435_c0_seq1
comp102439_c0_seq1,comp102439_c0_seq1
